trial,category,coverage,count,knn,ft,pre,fc,pc,own
shapenet1259,car,0.0,0.0,1.0680824875531743,0.0092845261096954,0.0579676926136016,0,1,cabinet
shapenet1260,car,-3.229437390290365,24.333333333333332,0.11712416433028684,0.0294141471385955,-0.0567564666271209,0,0,car
shapenet1262,car,0.0,0.0,1.0540650916499716,-0.0992094278335571,-0.0870117545127868,0,0,loudspeaker
shapenet1263,car,0.0,0.0,0.6467613090275195,0.3705170601606369,0.2409015595912933,1,1,chair
shapenet1264,car,-6.208151564627047,504.3333333333333,0.039854571769514235,-0.0689643323421478,-0.0506225824356079,0,0,car
shapenet1267,car,0.0,0.0,0.9251427174911923,-0.132631629705429,-0.0879358649253845,0,0,display
shapenet1269,car,0.0,0.0,0.7558040081465709,-0.0492312908172607,-0.1128704249858856,0,0,table
shapenet1271,car,-0.6931471805599453,1.0,0.34732730178123356,0.1018570065498352,0.2400241494178772,1,1,watercraft
shapenet1273,car,-3.169060127404243,39.0,0.10994180603067442,0.1041496396064758,-0.0987838506698608,1,0,car
shapenet1274,car,0.0,0.0,0.766949962441945,0.0895158946514129,0.0599015057086944,1,1,table
shapenet1275,car,0.0,0.0,0.4297829973645791,-0.0354397296905517,-0.02314954996109,0,0,airplane
shapenet1276,car,0.0,0.0,0.8298932855248559,-0.0185866355895996,0.0222522020339965,0,0,loudspeaker
shapenet1278,car,0.0,0.0,0.47685959582785126,0.1213317513465881,0.0547105073928833,1,1,bench
shapenet1279,car,0.0,0.0,0.9082974408531608,0.1072234511375427,0.1248415112495422,1,1,sofa
shapenet1283,car,0.0,0.0,0.8179566835031488,-0.0514189004898071,0.0321806073188781,0,1,telephone
shapenet1285,car,0.0,0.0,1.1053049322764106,0.1824029684066772,0.1744775772094726,1,1,cabinet
shapenet1286,car,0.0,0.0,0.8428245320797032,0.0468356013298034,0.0578203797340393,1,1,table
shapenet1287,car,0.0,0.0,0.5491115483919541,0.005487710237503,0.023853451013565,0,0,lamp
shapenet1288,car,-5.249432273826284,200.0,0.050512596108121456,0.3736196681857109,0.0026432871818542,1,0,car
shapenet1290,car,-5.656684213575416,354.3333333333333,0.0535087838116823,0.2716654241085052,-0.0206902623176574,1,0,car
shapenet1292,car,0.0,0.0,0.923869139559743,0.0261932015419006,-0.0366249680519104,0,0,cabinet
shapenet1294,car,0.0,0.0,0.9569916955415257,0.0384413003921508,0.0520908832550048,1,1,telephone
shapenet1295,car,0.0,0.0,0.981347022820582,0.05284184217453,-0.013943612575531,1,0,cabinet
shapenet1296,car,0.0,0.0,0.8779197999622497,0.1707220077514648,0.1303048133850097,1,1,chair
shapenet1297,car,0.0,0.0,0.5869766779978165,-0.0581235885620117,-0.087397426366806,0,0,lamp
shapenet1298,car,0.0,0.0,0.6488192262127036,0.0162403583526611,-0.0304311513900756,0,0,table
shapenet1299,car,0.0,0.0,0.7576725292652041,0.031703770160675,-0.0108265876770019,1,0,telephone
shapenet1300,car,0.0,0.0,0.2567809542629172,-0.013398140668869,-0.0670742690563201,0,0,watercraft
shapenet1303,car,0.0,0.0,0.9763535746949131,0.0215505957603454,0.0482087135314941,0,1,table
