trial,dAB,dist2000,pre,ft2000
chair_c0_2bf69f0fa5be4c3f6ecea8cff53afe1a_0,0.1898532604992953,0.2415798958285158,-0.0558717250823974,0.0616059005260467
chair_c0_2bf69f0fa5be4c3f6ecea8cff53afe1a_1,0.3736419670684654,0.2218586978641377,-0.0746841430664062,-0.0276122093200683
chair_c0_2bf69f0fa5be4c3f6ecea8cff53afe1a_2,0.1898532604992953,0.2415798958285158,-0.0896933674812316,0.0495404005050659
chair_c0_fa277e2693cba669731d11154716a6b8_0,0.3138804484210316,0.1883847746749841,0.0219383835792541,0.0639564394950866
chair_c0_fa277e2693cba669731d11154716a6b8_1,0.2784262581066428,0.1631891421485756,-0.0317183136940002,0.0066263675689697
chair_c0_fa277e2693cba669731d11154716a6b8_2,0.22772309555673276,0.1638505020471845,0.2077352106571197,0.1844413876533508
chair_c0_3358536e8e7c416ea9ef8e11754eeede_0,0.5883957291819986,0.2946973711754339,-0.0900108218193054,-0.0522122383117675
chair_c0_3358536e8e7c416ea9ef8e11754eeede_1,0.540026589889848,0.3306334259753937,0.0007267594337463,0.0939380526542663
chair_c0_3358536e8e7c416ea9ef8e11754eeede_2,0.5883957291819986,0.2946973711754339,0.0702227354049682,0.0470077991485595
chair_c0_bbe63bca5688ac6b7236a8143b10600f_0,0.34249670508866203,0.1293158152487424,-0.1239416003227233,-0.0680321455001831
chair_c0_bbe63bca5688ac6b7236a8143b10600f_1,0.34249670508866203,0.1293158152487424,0.0683023333549499,0.1022985577583313
chair_c0_bbe63bca5688ac6b7236a8143b10600f_2,0.3072712091027474,0.1745994004038298,0.1099789142608642,0.1461101472377777
chair_c0_8cb44a50906b827615e7ec87bf4cc5ab_0,0.2969865588954005,0.1571435900278079,0.2181795835494995,0.3722609877586365
chair_c0_8cb44a50906b827615e7ec87bf4cc5ab_1,0.21632057936307436,0.2087968268647958,0.2324785888195037,0.0669305920600891
chair_c0_8cb44a50906b827615e7ec87bf4cc5ab_2,0.14834692301586383,0.1620053739305794,-0.0860196053981781,-0.0044918060302734
chair_c0_4a2766bf63caa24a4abd5da3f5ea2512_0,0.35997612363382947,0.1526760142814933,0.1194010376930236,0.1468435525894165
chair_c0_4a2766bf63caa24a4abd5da3f5ea2512_1,0.38103158484495614,0.1694175094892462,0.1135543584823608,0.2523654103279114
chair_c0_4a2766bf63caa24a4abd5da3f5ea2512_2,0.3536238878303519,0.1969211462760927,0.0751238465309143,0.0639325380325317
chair_c0_4231883e92a3c1a21c62d11641ffbd35_0,0.307275284949022,0.199823690912533,-0.1539071798324585,-0.0485504865646362
chair_c0_4231883e92a3c1a21c62d11641ffbd35_1,0.3561600442866051,0.1686118121615828,-0.0035792589187622,0.0107820630073547
chair_c0_4231883e92a3c1a21c62d11641ffbd35_2,0.10986189473365082,0.1841109278951338,-0.023324966430664,0.0117759108543396
chair_c0_6a0bd5d9ec4567d9d42216b5daf41a39_0,0.2677098249058729,0.139182213098437,0.0567284226417541,0.0612935423851013
