trial,category,blind_k1,blind_k10,blind_k50,blind_k200
shapenet1347,airplane,0.1273687481880188,0.1427457481622696,0.15726009011268616,0.19805090129375458
shapenet1349,airplane,0.8833525776863098,0.9442746043205261,1.01581609249115,1.085033893585205
shapenet1351,airplane,0.004720449447631836,0.011185497045516968,0.027013754472136497,0.04373227059841156
shapenet1353,airplane,0.0004105567932128906,0.013113471679389477,0.029955416917800903,0.056455131620168686
shapenet1354,airplane,0.8066296577453613,0.8888565897941589,0.95024174451828,1.0349582433700562
shapenet1357,airplane,0.7587626576423645,0.8463861346244812,0.9270866513252258,1.005702257156372
shapenet1358,airplane,0.8816931843757629,0.9527833461761475,0.9991533160209656,1.0262943506240845
shapenet1359,airplane,0.3892292082309723,0.6984958052635193,0.8230441212654114,0.9114775657653809
shapenet1360,airplane,0.7386062145233154,0.7551016807556152,0.7694298624992371,0.7884998917579651
shapenet1361,airplane,0.8746340870857239,0.8793249130249023,0.8858091831207275,0.8991489410400391
shapenet1362,airplane,0.007532139774411917,0.012146630324423313,0.026959361508488655,0.07071057707071304
shapenet1364,airplane,0.6928670406341553,0.8138635754585266,0.88580322265625,0.9468278884887695
shapenet1369,airplane,0.2848614752292633,0.5138573050498962,0.6586785912513733,0.7604628205299377
shapenet1372,airplane,1.1300934553146362,1.1509944200515747,1.1943923234939575,1.2539535760879517
shapenet1375,airplane,7.748603820800781e-07,0.012692376971244812,0.04021464288234711,0.07008060812950134
shapenet1377,airplane,0.22203056514263153,0.3368992805480957,0.4332129955291748,0.5432072877883911
shapenet1378,airplane,0.23365724086761475,0.30363214015960693,0.35800042748451233,0.40234899520874023
shapenet1380,airplane,0.6564566493034363,0.6861865520477295,0.7084059119224548,0.7361621856689453
shapenet1381,airplane,0.30538544058799744,0.4945274889469147,0.626948356628418,0.7280579209327698
shapenet1383,airplane,1.0378631353378296,1.0987578630447388,1.194432258605957,1.2985585927963257
shapenet1386,airplane,0.740223228931427,0.7535903453826904,0.7622149586677551,0.7787016034126282
shapenet1390,airplane,0.5405839085578918,0.5447921752929688,0.5550662279129028,0.5838000774383545
shapenet1391,airplane,0.9841774106025696,1.0157662630081177,1.0784764289855957,1.1476503610610962
shapenet1392,airplane,0.39699462056159973,0.40380963683128357,0.41668903827667236,0.4515474736690521
shapenet1393,airplane,0.21823346614837646,0.2711220979690552,0.3077844977378845,0.3466680943965912
shapenet1394,airplane,0.7126138806343079,0.7548293471336365,0.7897336483001709,0.8230409026145935
shapenet1396,airplane,0.0051491656340658665,0.01196395605802536,0.024763988330960274,0.050668805837631226
shapenet1397,airplane,0.39633476734161377,0.4005506932735443,0.41233256459236145,0.4465402066707611
shapenet1401,airplane,0.03443219140172005,0.058033425360918045,0.09930511564016342,0.1588197499513626
shapenet1402,airplane,0.7458071708679199,0.7687377333641052,0.7932637333869934,0.8185163140296936
shapenet1404,airplane,0.295335978269577,0.4501365125179291,0.5988736152648926,0.7126364707946777
shapenet1406,airplane,6.115436553955078e-05,0.0004139462544117123,0.010355264879763126,0.03477077558636665
shapenet1411,airplane,0.643008291721344,0.6726481914520264,0.716002881526947,0.7751505970954895
shapenet1413,airplane,0.061919134110212326,0.07529894262552261,0.09042414277791977,0.13459067046642303
shapenet1418,airplane,0.3585239350795746,0.49646827578544617,0.623327910900116,0.7108144760131836
shapenet1419,airplane,0.8583018183708191,0.9506244659423828,0.9774937033653259,0.9933249950408936
shapenet1421,airplane,0.16190771758556366,0.27588194608688354,0.3766566812992096,0.484966516494751
shapenet1422,airplane,6.059805400582263e-06,0.0006400644779205322,0.01519991084933281,0.03649497404694557
shapenet1423,airplane,0.9262980818748474,0.9371063113212585,0.9468315243721008,0.9611071944236755
shapenet1427,airplane,0.8072574734687805,0.8652345538139343,0.9125856757164001,0.9648184776306152
shapenet1428,airplane,0.2648356556892395,0.43617865443229675,0.5692924857139587,0.673949658870697
shapenet1429,airplane,0.5639767050743103,0.6608394980430603,0.7593271136283875,0.8566992878913879
shapenet1433,airplane,0.3525753915309906,0.532666027545929,0.6841910481452942,0.7929091453552246
shapenet1435,airplane,0.6683089137077332,0.6836732029914856,0.704740583896637,0.7403781414031982
shapenet1436,airplane,0.005841811653226614,0.022580450400710106,0.04076729342341423,0.07594109326601028
shapenet1439,airplane,0.6579011082649231,0.8264101147651672,0.8836343884468079,0.9326539635658264
shapenet1441,airplane,0.0012722015380859375,0.0057856920175254345,0.017549922689795494,0.04153963178396225
shapenet1445,airplane,0.014946520328521729,0.01836707629263401,0.02758936397731304,0.04672876372933388
shapenet1448,airplane,0.8931760787963867,0.9206438660621643,0.9367055892944336,0.9520439505577087
shapenet1449,airplane,0.7154777646064758,0.791259765625,0.8563653826713562,0.9083089828491211
shapenet1451,airplane,0.8352539539337158,0.8884148001670837,0.9855418801307678,1.074899673461914
shapenet1455,airplane,0.03230462595820427,0.03775760903954506,0.05200658738613129,0.08785432577133179
shapenet1460,airplane,0.8599653244018555,0.8712673187255859,0.8826557993888855,0.9016209244728088
shapenet1466,airplane,2.6146570235141553e-05,0.013622917234897614,0.05660514533519745,0.09445685148239136
shapenet1468,airplane,0.2964085042476654,0.47280606627464294,0.6308135986328125,0.7395527362823486
shapenet1470,airplane,0.38784337043762207,0.3920165002346039,0.4037710428237915,0.43819594383239746
shapenet1472,airplane,0.016380568966269493,0.038509201258420944,0.07301529496908188,0.10617951303720474
shapenet1473,airplane,0.09196201711893082,0.10091682523488998,0.1256638765335083,0.16734850406646729
shapenet1474,airplane,0.3274027407169342,0.4507300555706024,0.5726008415222168,0.6728184223175049
shapenet1475,airplane,1.0177136659622192,1.0899392366409302,1.1776384115219116,1.2632031440734863
shapenet1477,airplane,0.3139369487762451,0.4130614697933197,0.5367373824119568,0.6449784636497498
shapenet1478,airplane,0.008880913257598877,0.014694642275571823,0.03503072261810303,0.07218331843614578
shapenet1479,airplane,0.29725268483161926,0.5322183966636658,0.6756761074066162,0.7649447321891785
shapenet1480,airplane,0.9938132166862488,1.0424660444259644,1.0857676267623901,1.1244291067123413
shapenet1484,airplane,0.236519917845726,0.24083364009857178,0.2532988488674164,0.2935328781604767
shapenet1486,airplane,0.7131218910217285,0.7595455050468445,0.7892869114875793,0.8143965601921082
shapenet1487,airplane,0.9143924117088318,0.9271464347839355,0.9354679584503174,0.9487903714179993
