model,trial,knn10,nn1,cov,margin,pre
1,shapenet1005,0.3772763954630284,0.14971266071540412,0.34657359027997264,0.2321758866310119,0.0517405867576599
1,shapenet1019,0.41454122585552966,0.31665648728251783,0.0,0.1865153014659881,0.1106313467025756
1,shapenet1023,0.23205256502362148,0.19079972831877273,0.0,0.0628157556056976,0.0011004209518432
1,shapenet1070,0.3731931446120441,0.3106522645853531,0.0,0.2278403043746948,0.0718432664871215
1,shapenet1074,0.2202130329172064,0.11981411217394788,0.34657359027997264,0.2623049616813659,0.1257690191268921
1,shapenet1079,0.5383161271644707,0.38622248277029975,0.0,0.2314625382423401,0.1123298406600952
1,shapenet1113,0.26818271122530424,0.14159666789659275,0.0,0.0695494413375854,-0.0017550587654113
1,shapenet1141,0.44388795920386226,0.24638900527378316,0.0,-0.0496169924736022,-0.0316673517227172
1,shapenet1142,0.4997864827140617,0.3346176632611315,0.0,0.1947012841701507,0.1275563836097717
1,shapenet1149,0.45623823561119004,0.2554266911616935,0.8047189562170501,0.1766330599784851,0.1033546924591064
1,shapenet1186,0.6006453296159512,0.413166023175223,0.0,0.0619798898696899,-0.0476050376892089
1,shapenet1234,0.5209995062578366,0.35179323726617434,0.0,0.0730718672275543,0.0737968981266021
1,shapenet1250,0.4607763489921084,0.26010379316989196,0.0,0.2715227007865906,0.1765790581703186
1,shapenet1255,0.3782064777422979,0.275326080194291,0.0,-0.0232723355293273,-0.0990598201751709
1,shapenet1263,0.44200596039847484,0.31976061253633603,0.0,0.3888313397765159,0.2409014403820037
1,shapenet1296,0.5611750164616063,0.38335244741134156,0.0,0.2418653815984726,0.1303049027919769
1,shapenet1312,0.40619942878222637,0.2663947759913532,0.0,0.3131906986236572,0.2861449420452118
1,shapenet1321,0.44925970984705366,0.36797038109564006,0.0,0.1750606894493103,0.181105375289917
1,shapenet1357,0.36413590844818544,0.20667159939363944,0.0,0.2207785844802856,0.1531468033790588
1,shapenet1361,0.5460726728892712,0.3933326085957941,0.0,0.2932123243808746,0.1332599520683288
1,shapenet1397,0.3442394224594223,0.23474812376139303,0.0,0.226524144411087,0.0369682908058166
1,shapenet1402,0.6058859435759101,0.46395022455797746,0.0,0.2476645708084106,0.1425018906593322
1,shapenet1470,0.374320363974001,0.2417232364418757,0.0,0.1637700200080871,0.0665143132209777
1,shapenet1491,0.5556357416416904,0.4800150714665689,0.0,0.299683928489685,0.2346081137657165
2,shapenet19,0.5042771031440187,0.43739144278577347,0.0,0.1584982872009277,0.0506070256233215
2,shapenet22,0.3918973535662975,0.25392519054320184,0.0,0.293689876794815,0.1911990642547607
2,shapenet25,0.4204015714046142,0.21388921210696588,0.34657359027997264,0.3033099770545959,0.2099207639694214
2,shapenet74,0.48925712118042,0.43422546700125964,0.0,-0.0479788780212402,-0.0312279462814331
2,shapenet118,0.38347296471904824,0.28304047971524204,0.0,0.0696802735328674,0.0405457615852355
2,shapenet119,0.5887053060309632,0.5018699672156113,0.0,-0.067563772201538,-0.0691739320755004
2,shapenet126,0.16163770397006988,0.07771008841469107,1.1512925464970227,0.101742148399353,-0.0086699128150939
2,shapenet184,0.4120135171424075,0.3456267811024263,0.0,0.1042136251926422,0.0380235612392425
2,shapenet186,0.6229321802527946,0.39454194889589356,0.0,0.4143054001033306,0.2805328369140625
2,shapenet204,0.4159771483678526,0.33257902555269653,0.0,0.2322113513946533,0.0291332602500915
2,shapenet232,0.5112327881140056,0.22354989265342312,0.34657359027997264,0.2843061983585357,0.153318852186203
2,shapenet260,0.3967371570756324,0.2296726490282162,0.0,0.2110466808080673,0.0861707031726837
2,shapenet262,0.5399960038276027,0.39892136973314823,0.0,-0.0164029598236084,-0.1050140261650085
2,shapenet268,0.506203395142049,0.3007965013981582,0.0,0.019487589597702,-0.0165807008743286
2,shapenet271,0.34806582067196884,0.19099711034665656,0.0,0.1358838975429535,0.066796600818634
2,shapenet289,0.5051305803144244,0.3833127369303805,0.0,0.1344618797302246,0.0571181178092956
2,shapenet304,0.4951898468258405,0.41734513062251716,0.0,0.3488373011350631,0.2207829654216766
2,shapenet307,0.18779760660243333,0.12635188674412212,0.34657359027997264,0.1446976363658905,0.0181713700294494
2,shapenet359,0.25701224940178835,0.17641338995471922,0.0,-0.0261290073394775,-0.0478737950325012
2,shapenet372,0.3567845894380355,0.2180940910161699,0.0,0.0926419198513031,-0.066386193037033
2,shapenet379,0.5135020727009512,0.39127030917838135,0.0,0.1999679207801818,0.1614040732383728
2,shapenet388,0.45938295939607154,0.3220943714216715,0.8047189562170501,0.1398231089115142,0.0488551259040832
2,shapenet453,0.29414563435023733,0.22202149640649904,0.0,0.2355627715587616,0.0975065231323242
2,shapenet478,0.5618421142172167,0.48242773706964187,0.0,0.3537314459681511,0.3121097087860107
